款号,215,220,225,230,235,240,245,250,目标分出
D5A12B24211-01,,2,2,2,7,4,3,1,21
D5A12B24211-05,,,4,1,5,5,4,,18
D5A12B3A515-33,,2,8,11,5,11,11,1,49
D5C10B30863-03,,5,24,26,23,10,2,,90
D5C10B30863-71,,9,18,15,19,14,3,,78
D5C12B3F960-01,,5,20,20,20,10,10,,81
